file,phenol_5_6_7,carbox_acid,benzoic_acid,thiol_thiophenol,aliphatic_alcohol,sec_amine_neg,heteorcyle_phen,alinine,primary_amine,tert_amine,sec_amine_sec_amine_ring,ring,aromatic,charge,hybridization,delta_tpsa,conjugate_acid,conjugate_base,exp_pKa (pKa)
838,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,3,-2.83,CC(C)(C(=O)[OH:8])C(=O)O,CC(C)(C(=O)O)C(=O)[O-:8],3.15
841,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,3,-2.83,CC(C)(C)c1ccc(cc1)[OH:11],CC(C)(C)c1ccc(cc1)[O-:11],10.23
842,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,3,-2.83,Cc1ccc(c(c1)[OH:11])C(C)C,Cc1ccc(c(c1)[O-:11])C(C)C,10.62
843,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,3,-2.83,c1ccc(c(c1)OCC(=O)[OH:10])F,c1ccc(c(c1)OCC(=O)[O-:10])F,3.08
844,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,3,-2.83,c1cc(cc(c1)F)OCC(=O)[OH:10],c1cc(cc(c1)F)OCC(=O)[O-:10],3.07
845,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,3,-2.83,c1cc(ccc1OCC(=O)[OH:10])F,c1cc(ccc1OCC(=O)[O-:10])F,3.56
846,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,3,-2.83,Cc1ccc(c(c1)C(C)(C)C)[OH:12],Cc1ccc(c(c1)C(C)(C)C)[O-:12],11.5
847,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,3,-2.83,c1cc(c(cc1Cl)Cl)OCC(=O)[OH:10],c1cc(c(cc1Cl)Cl)OCC(=O)[O-:10],2.64
848,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,3,-2.83,COC(=O)[C@H](CC(=O)[OH:17])c1ccc(cc1)N(=O)=O,COC(=O)[C@H](CC(=O)[O-:17])c1ccc(cc1)N(=O)=O,4.07
850,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,3,-2.83,CC(C)(C)c1cccc(c1[OH:13])[S@@](=O)C,CC(C)(C)c1cccc(c1[O-:13])[S@@](=O)C,9.5
851,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,3,-2.83,CCCCP(=O)(CCCC)[C@](C)(C(=O)[OH:14])O,CCCCP(=O)(CCCC)[C@](C)(C(=O)[O-:14])O,2.94
852,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,3,-2.83,C[N+](C)(C)c1ccc(cc1)CC(=O)[OH:14],C[N+](C)(C)c1ccc(cc1)CC(=O)[O-:14],3.75
853,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,3,-2.83,C[N+](C)(C)CCc1ccccc1[OH:13],C[N+](C)(C)CCc1ccccc1[O-:13],9.57
854,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,3,-2.83,c1ccc(c(c1)c2ccccc2O)[OH:13],c1ccc(c(c1)c2ccccc2[O-:13])O,7.56
855,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,3,-2.83,COC(=O)c1cc2ccccc2c(c1)[OH:14],COC(=O)c1cc2ccccc2c(c1)[O-:14],8.75
856,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,3,-2.83,COc1ccc(c2c1cccc2)C(=O)[OH:14],COc1ccc(c2c1cccc2)C(=O)[O-:14],4.31
857,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,3,-2.83,Cc1cc(c(c(c1)/C(=C/C(=O)[OH:15])/C)O)C,Cc1cc(c(c(c1)/C(=C/C(=O)[O-:15])/C)O)C,4.54
858,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,3,-2.83,C[C@@](CC(=O)[OH:15])(c1ccccc1)C(=O)OC,C[C@@](CC(=O)[O-:15])(c1ccccc1)C(=O)OC,4.46
859,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,3,-2.83,C[C@@H](CCCC(=O)[OH:14])c1ccccc1,C[C@@H](CCCC(=O)[O-:14])c1ccccc1,4.8
860,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,3,-2.83,Cc1cc(c(c(c1)C(C)(C)C)[OH:13])C,Cc1cc(c(c(c1)C(C)(C)C)[O-:13])C,12.04
861,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,3,-2.83,CCCc1cccc(c1[OH:13])CCC,CCCc1cccc(c1[O-:13])CCC,11.25
862,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,3,-2.83,CCc1cc(c(cc1[OH:13])C)C(C)C,CCc1cc(c(cc1[O-:13])C)C(C)C,10.85
863,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,3,-2.83,CCc1cc(c(cc1C)[OH:13])C(C)C,CCc1cc(c(cc1C)[O-:13])C(C)C,10.01
864,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,3,-2.83,CCCCCCc1ccccc1[OH:13],CCCCCCc1ccccc1[O-:13],10.66
865,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,3,-2.83,CCCCCCCCCCCC(=O)[OH:14],CCCCCCCCCCCC(=O)[O-:14],5.3
866,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,3,-2.83,c1ccc(cc1)c2cc(cc(c2[OH:19])N(=O)=O)N(=O)=O,c1ccc(cc1)c2cc(cc(c2[O-:19])N(=O)=O)N(=O)=O,3.848
867,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,3,-2.83,c1ccc(c(c1)c2ccc(cc2)Br)[OH:13],c1ccc(c(c1)c2ccc(cc2)Br)[O-:13],10.96
868,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,3,-2.83,c1ccc(c(c1)c2ccc(cc2)I)[OH:13],c1ccc(c(c1)c2ccc(cc2)I)[O-:13],10.92
