file,delta_band_gap (eV),delta_h_corr (Hartree),delta_scf (Hartree),d_calc_pka (pKa),phenol_5_6_7,carbox_acid,benzoic_acid,thiol_thiophenol,aliphatic_alcohol,sec_amine_neg,heteorcyle_phen,alinine,primary_amine,tert_amine,sec_amine_sec_amine_ring,ring,aromatic,charge,hybridization,CBH_1,CBH_2,CBH_3,CBH_4,CBH_5,CBH_6,CBH_7,CBH_8,CBH_9,CBH_10,CBH_11,CBH_12,CBH_13,CBH_14,CBH_15,CBH_16,CBH_17,CBH_18,CBH_19,CBH_20,CBH_21,CBH_22,CBH_23,CBH_24,CBH_25,CBH_26,CBH_27,CBH_28,CBH_29,CBH_30,CBH_31,CBH_32,CBH_33,CBH_34,CBH_35,CBH_36,CBH_37,CBH_38,CBH_39,CBH_40,CBH_41,CBH_42,CBH_43,CBH_44,CBH_45,CBH_46,CBH_47,CBH_48,CBH_49,CBH_50,CBH_51,CBH_52,CBH_53,CBH_54,CBH_55,CBH_56,CBH_57,CBH_58,CBH_59,CBH_60,CBH_61,CBH_62,CBH_63,CBH_64,CBH_65,CBH_66,CBH_67,CBH_68,CBH_69,CBH_70,CBH_71,CBH_72,CBH_73,CBH_74,CBH_75,CBH_76,CBH_77,CBH_78,CBH_79,CBH_80,CBH_81,bond_length (angstrom),delta_e_extent (au),delta_tpsa,exp_pKa (pKa)
2113,0.00697,0.013253,-0.45875466,6.79,0,0,0,0,0,1,0,0,0,0,0,1,1,-1,3,0.3333,0,0,0.25,0,0,0,0,0,0.1429,0.0625,0,0.1667,0,0,0,0,0.1111,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.2,0,0,0,0,0.0714,0,0,0.5,0.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0909,0,0,0,0,0.0769,0,0,1,0,0,0,0,0,0,0.125,0,0,1.02,-32.46,1.69,8.3
2114,-0.01358,0.012754,-0.45065653,3.24,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,0.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333,0,0,0,0,0,0,0,0,0.3333,0,0,0,0,0,0,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.02,0.19,1.25,5.5
2115,0.01617,0.014513,-0.46911246,11.16,0,0,0,0,0,0,0,0,0,0,1,1,0,1,4,0.1429,0,0,0.1111,0,0,0,0,0,0,0.1111,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0833,0,0,0,0,0,0,0,0,0,0,0.1667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,1.03,69.68,4.58,10.1
2116,0.01896,0.01441,-0.46200633,7.6,0,0,0,0,0,0,0,0,0,1,0,1,0,1,4,0.25,0,0,0.2,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03,-59.55,1.2,6.2
2118,0.00118,0.015095,-0.46908057,10.25,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,0.1429,0.25,0,0,0,0,0,0,0,0.3333,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1667,0,0,0,0.1429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1.03,-175.26,4.58,9.45
2119,-0.02874,0.012705,-0.45327857,4.71,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,0.3333,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333,0,0,0.1667,0,0,0.2,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.05,-90.18,1.25,4.4
2120,-0.00157,0.013077,-0.46145156,7.97,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.02,4.28,1.25,7.8
2121,0.02334,0.012927,-0.4592093,7.5,0,0,0,0,0,1,0,0,0,0,0,1,1,-1,3,0.3333,0.1111,0,0.3333,0,0,0,0,0,0,0,0,0.2,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.1667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1429,0,0,0,1,0.25,0,0,0,0,0.125,0,0,0,0,0,0,0,0.3333,0,0,0,0,1.02,31.82,1.69,6.8
2122,-0.01874,0.012946,-0.46178004,8.54,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,0.25,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333,0,0,0,0,0,0,0,0,0.25,0,0,0,0.3333,0,0,0,0.3333,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,1,0,0,0,0,0,0,0,0,0,1.02,37.57,1.61,8.2
2124,0.00429,0.012397,-0.44803154,3.2,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,3,0.25,0,0,0,0,0,0,0.3333,0,0,0,0,0.2,0,0,0,0.25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333,0.1429,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0.1667,0,0,0,0,1.02,266.31,-2.07,5.98
